id,log_date,timestamp,location,dominan,aqi,pm25,pm10,co,no2,so2,o3
1,2025-04-11 13:00:00+07,2025-04-10 12:00:00+07,surabaya,pm25,151,151,60,0,51,42,50
2,2025-04-11 14:02:00+07,2025-04-11 13:00:00+07,surabaya,pm25,151,151,60,0,51,42,50
3,2025-04-11 15:05:00+07,2025-04-11 14:00:00+07,surabaya,pm25,151,151,60,0,51,42,50
4,2025-04-11 16:02:00+07,2025-04-11 15:00:00+07,surabaya,pm25,151,151,60,0,51,42,50
5,2025-04-12 12:05:00+07,2025-04-11 15:00:00+07,surabaya,pm25,0,151,60,0,51,42,50
6,2025-04-14 09:50:00+07,2025-04-14 09:00:00+07,surabaya,pm25,98,98,41,0,68,53,52
7,2025-04-15 14:05:00+07,2025-04-14 16:00:00+07,surabaya,pm25,0,123,51,0,65,53,69
8,2025-04-15 15:04:00+07,2025-04-14 16:00:00+07,surabaya,pm25,0,123,51,0,65,53,69
9,2025-04-15 21:24:00+07,2025-04-14 16:00:00+07,surabaya,pm25,0,123,51,0,65,53,69
10,2025-04-19 12:05:00+07,2025-04-19 12:00:00+07,surabaya,pm25,82,82,32,0,58,43,9
11,2025-04-19 12:05:00+07,2025-04-19 12:00:00+07,surabaya,pm25,82,82,32,0,58,43,9
12,2025-04-21 10:48:00+07,2025-04-21 10:00:00+07,surabaya,pm25,92,92,37,0,58,46,64
13,2025-04-21 11:04:00+07,2025-04-21 10:00:00+07,surabaya,pm25,92,92,37,0,58,46,64
14,2025-04-21 11:31:02.330447+07,2025-04-21 18:00:00+07,surabaya,pm25,92,92,37,,58,46,64
15,2025-04-21 11:46:49.915812+07,2025-04-21 18:00:00+07,surabaya,pm25,92,92,37,,58,46,64
16,2025-04-21 11:47:50.84789+07,2025-04-21 18:00:00+07,surabaya,pm25,92,92,37,,58,46,64
17,2025-04-21 12:19:36.307576+07,2025-04-21 19:00:00+07,surabaya,pm25,92,92,37,,59,46,65
18,2025-04-21 12:49:37.549423+07,2025-04-21 19:00:00+07,surabaya,pm25,92,92,37,,59,46,65
19,2025-04-21 13:46:53.819477+07,2025-04-21 13:00:00+07,surabaya,pm25,92,92,37,,59,46,66
20,2025-04-21 14:16:55.797743+07,2025-04-21 14:00:00+07,surabaya,pm25,91,91,37,,59,46,66
21,2025-04-21 14:46:56.917896+07,2025-04-21 14:00:00+07,surabaya,pm25,91,91,37,,59,46,66
22,2025-04-21 15:16:58.109798+07,2025-04-21 15:00:00+07,surabaya,pm25,90,90,36,,59,46,67
23,2025-04-21 16:26:55.242333+07,2025-04-21 16:00:00+07,surabaya,pm25,89,89,36,,59,46,68
24,2025-04-21 16:27:56.197857+07,2025-04-21 16:00:00+07,surabaya,pm25,89,89,36,,59,46,68
25,2025-04-21 16:28:57.004057+07,2025-04-21 16:00:00+07,surabaya,pm25,89,89,36,,59,46,68
26,2025-04-21 16:29:58.082505+07,2025-04-21 16:00:00+07,surabaya,pm25,89,89,36,,59,46,68
27,2025-04-21 16:30:59.078663+07,2025-04-21 16:00:00+07,surabaya,pm25,89,89,36,,59,46,68
28,2025-04-21 16:46:59.200612+07,2025-04-21 16:00:00+07,surabaya,pm25,89,89,36,,59,46,68
29,2025-04-21 17:02:00.962966+07,2025-04-21 16:00:00+07,surabaya,pm25,89,89,36,,59,46,68
30,2025-04-21 17:17:03.042186+07,2025-04-21 17:00:00+07,surabaya,pm25,90,90,36,,60,47,68
