pm25,pm10,co,no2,so2,o3,hour,day,timestamp,predicted_aqi
55.0,16.0,0.0,65.0,41.0,92.0,10,1,2025-05-20 10:47:31.689591,47.0
55.0,16.0,0.0,65.0,41.0,92.0,11,1,2025-05-20 11:47:31.689591,47.0
55.0,16.0,0.0,65.0,41.0,92.0,12,1,2025-05-20 12:47:31.689591,47.42
55.0,16.0,0.0,65.0,41.0,92.0,13,1,2025-05-20 13:47:31.689591,47.42
55.0,16.0,0.0,65.0,41.0,92.0,14,1,2025-05-20 14:47:31.689591,47.43
55.0,16.0,0.0,65.0,41.0,92.0,15,1,2025-05-20 15:47:31.689591,47.59
55.0,16.0,0.0,65.0,41.0,92.0,16,1,2025-05-20 16:47:31.689591,47.95
55.0,16.0,0.0,65.0,41.0,92.0,17,1,2025-05-20 17:47:31.689591,48.31
55.0,16.0,0.0,65.0,41.0,92.0,18,1,2025-05-20 18:47:31.689591,48.45
55.0,16.0,0.0,65.0,41.0,92.0,19,1,2025-05-20 19:47:31.689591,48.45
55.0,16.0,0.0,65.0,41.0,92.0,20,1,2025-05-20 20:47:31.689591,48.45
55.0,16.0,0.0,65.0,41.0,92.0,21,1,2025-05-20 21:47:31.689591,48.54
55.0,16.0,0.0,65.0,41.0,92.0,22,1,2025-05-20 22:47:31.689591,48.54
55.0,16.0,0.0,65.0,41.0,92.0,23,1,2025-05-20 23:47:31.689591,48.54
55.0,16.0,0.0,65.0,41.0,92.0,0,2,2025-05-21 00:47:31.689591,48.71
55.0,16.0,0.0,65.0,41.0,92.0,1,2,2025-05-21 01:47:31.689591,48.71
55.0,16.0,0.0,65.0,41.0,92.0,2,2,2025-05-21 02:47:31.689591,48.71
55.0,16.0,0.0,65.0,41.0,92.0,3,2,2025-05-21 03:47:31.689591,48.71
55.0,16.0,0.0,65.0,41.0,92.0,4,2,2025-05-21 04:47:31.689591,48.71
55.0,16.0,0.0,65.0,41.0,92.0,5,2,2025-05-21 05:47:31.689591,48.71
55.0,16.0,0.0,65.0,41.0,92.0,6,2,2025-05-21 06:47:31.689591,48.71
55.0,16.0,0.0,65.0,41.0,92.0,7,2,2025-05-21 07:47:31.689591,48.54
55.0,16.0,0.0,65.0,41.0,92.0,8,2,2025-05-21 08:47:31.689591,48.39
55.0,16.0,0.0,65.0,41.0,92.0,9,2,2025-05-21 09:47:31.689591,47.82
55.0,16.0,0.0,65.0,41.0,92.0,10,2,2025-05-21 10:47:31.689591,47.0
